Index,Tweet,Polarity,Subjectivity
15,"Free 3 to 5 signals available everyday in my channel  join 👇👇
🚨Telegramhttps https://t.co/WLhji2vpGI

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $LINK $KAS $ERTB $RFTUSD $POI $IOP $GHT $dbtys https://t.co/7boSSQqAT5",0.20000000000000004,0.6000000000000001
16,@StandUpForFact Trump has 100% of my support.,0.0,0.0
17,Donald Trump's worst nightmare https://t.co/LIK6cLpkLO via @palmerreport.  Smiling…😏,-1.0,1.0
18,THIS DICKFACE TRUMP BE ON KNEES NEXT OWNIN FRAUD,0.0,0.0
19,So tRUMP is already threatening Putin!!  “ if he doesn’t declare peace there will be dire and severe consequences “huh??    Real nice way to start negotiations.   Then again he will make his decision “in two weeks”!,1.0,1.0
20,"Limited Edition NFT Art! Explore Power Plays of USA Politics at 👇

https://t.co/YpMtkoyZvB

#NFT #NFTs #NFTArt #NFTartist #NFTsales #NFTCommunity #digitalart #opensea #NFTdrop #AIart #NFTCollection #NFTCollector #AIArtistCommunity #AbstractNFT #NFT_Shill #CryptoArt #Trump #art https://t.co/fEnFtFBNdi",-0.08928571428571427,0.14285714285714285
21,"@theejohnhancock @DmocracyDeficit @hutchinson If the biggest creator in the world on your side of the aisle not only refuses to support the candidate who is running opposite of Trump, but says that they are materially the same pick, then I think it's fair game to shit down their throat every time Trump does something insane.",-0.13194444444444445,0.564236111111111
22,@xrplogos @DanScavino @POTUS @VP @JDVance @ICEgov @RealTomHoman @DHSgov @Sec_Noem @StephenM @TuckerCarlson @realDonaldTrump @EricTrump @DonaldJTrumpJr @Bannons_WarRoom @JackPosobiec @BasedMikeLee @mattgaetz @DarrenJBeattie @Scavino47 Trump likes to float ideas and then get everyone’s feedback. I think he heard us firmly rejecting any amnesty for that. We do need to have some form of worker program but I trust he knows how to do it so it ensures we are always hired first.,0.024999999999999994,0.3666666666666667
23,@TrumpWarRoom @karolineleavitt 👍🏻🇺🇸❤🙏 Putin has plenty of land space. Hopefully Trump can get to the bottom of what Putin is actually after.,0.0,0.1
24,@GuntherEagleman @bennyjohnson The PRESIDENT TRUMP DID RIGHT  CAUSE CRIME IN WASHINGTON WAS GETTING OUT OF HAND HE JUST BROUGHT LAW AND ORDER BACK TO WASHINGTON DC 👍👍👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,0.14285714285714285,0.26785714285714285
25,"@captzachghost @JillianMichaels @abbydphillip another trump parrot!
carry on https://t.co/wmcMtcGEDW",0.0,0.0
26,"Trump loves Putin and is making Americans accomplices in his crime of trying to appease the aggressor who already killed millions. 
Trump's hands have the blood of innocent children on them https://t.co/gcyi7WQZ97",0.15,0.35
27,@BadFaithAct @RpsAgainstTrump It’s not news. Trump has solicited Russian help to get himself elected from long before Day 1.,-0.025,0.2
28,"The concierge service Trump is giving Big Tech after claiming to be an antagonist is hardly a surprise but putting it all together, as Public Citizen did in a great report, is something. 1 in 3 holdover cases against tech/crypto firms dropped in 7 months.
https://t.co/h9eUfxwP9V",0.12708333333333333,0.3645833333333333
29,"Oh this is something! Trumps pick to head the BLS/Bureau of Labor Statistics was attending the Stop The Steal January 6 rally! 

And you guys still think Trump is not trying to remake the U.S. government in his image,dismissing democratic principles! GTFOH https://t.co/INyBlQUVaA",0.0,0.0
30,@FoxNews TACO trump will cave again,0.0,0.0
31,"Trump says “Now, the police can do whatever they want”

As in attacking civilians.

How is dictatorship going? https://t.co/LUmtRbulxr",0.0,0.0
32,Thou Shalt Not Hire a Jan. 6 Nazi Fan to Cook the Books https://t.co/E7rqaphpbx,0.0,0.0
33,"@AndrewCFollett @feelsdesperate Come to think of that, the cops should say that, too. Not make it all seem like Trump's whim.",0.0,0.0
34,"Trump Pushes ‘D.C. Security Fund’

When asked about Trump’s proposal, Sen. Chuck Schumer (D-NY) had a quick response: “No fucking way.” https://t.co/R4nBUrVySU",0.31666666666666665,0.65
35,@RedToGreen8 @StellarFox16 @akafaceUS They can’t show you those videos or the non existence of those videos because Trump isn’t releasing them. Open the files and all will be settled. Easy.,0.21666666666666667,0.6666666666666667
36,"@allthin90183570 @atrupar Biden’s Covid emergency extension was about funding hospitals, vaccines, and public health and it still went through Congress and courts. Trump’s talking about bypassing Congress entirely to put police under federal control. If you can’t tell the difference between a public",0.0,0.25277777777777777
37,"@Lunara_Wolf @NandSahu463076 @AntiTrumpCanada @guyfelicella Crime so high there there 32 percent down still way too high, plus they just don’t count the crimes in many cases to keep the stats lower. 🤦‍♀️ no proof Trump is a pedo.",0.1661111111111111,0.46722222222222226
38,@SantaSurfing Lets ride the wave with Trump to Win Win Win https://t.co/0Jlnd5uVp6,0.8000000000000002,0.4000000000000001
39,@Zlatti_71 Again Trump gained for his vanity. Duped again.,0.0,0.0
40,"@zerohedge Biden's economy right?

Nah. Its 100% on Trump.",0.2857142857142857,0.5357142857142857
41,"While the meeting on Alaska, the Kennedy Honours, the Nobel prize talk are all efforts to bury the discussion of Trump and the Epstein files and deploying troops in DC is a distraction but also another test of how far his power grab can go.  Soon to be in a city near you. https://t.co/e61iMXCkqi",0.1,0.7
42,Thank You Donald John Trump and gang https://t.co/RX8wQ4rLPO,0.0,0.0
43,@TrendSpider Too damn high thanks to Trump ass,0.18,0.37
44,@HeroDividend Trump failed like usual it’s so pitiful,-0.375,0.275
45,"@BRICSinfo Trump is a Russian Asset.
The world needs to acknowledge that. 🤵🏾",0.0,0.0
46,"@ScottBaio President Trump told me a long time ago that he hopes they don't start smearing @ScottBaio just because he supported him, then he said, in typical Trump style....""Have you seen his daughter golf? She is a pro already""",-0.10833333333333334,0.45
47,"Warhawk Turned CNN Analyst John Bolton Mocks Putin’s Three And A Half Years Of Incompetence In War

John Bolton — the anti-Trump, despised warhawk now serving as a CNN analyst — sneers that Russia has been “so incompetent” for three and a half years and doesn’t even teach its https://t.co/6uV9FWnxut",-0.22777777777777775,0.2333333333333333
48,"@joeroganhq ""I hope everyone remembers when they’re getting the COVID-19 (often referred to as China Virus) Vaccine, that if I wasn’t President, you wouldn’t be getting that beautiful shot for 5 years, at best, and probably wouldn’t be getting it at all. I hope everyone remembers!"" -Trump",0.925,0.65
49,"@40manGibbs @mmpadellan YOU must be so proud of yourself to worship a convicted FELON, a RAPIST and Jeffrey Epstein’s best friend of 15 years !

Donald Trump’s alleged ‘sexual proclivities’ graphically detailed in new Epstein documents 

https://t.co/EusomnsU4Y",0.45606060606060606,0.572979797979798
50,@Bubblebathgirl Yeah she got that idea from the Maga people. Been seeing them and nazi trump lovers doing it on here a bunch of times. What is ur point? Gotta live and love the freedoms we ALL get to have. Not just some of us. ALL  of us get them.,0.3181818181818182,0.55
51,@Emolclause Excited for new policies under President Trump! Let's see the positive change he brings to America. #MAGA,0.25757575757575757,0.5833333333333334
52,@Shivansh_k_c @RpsAgainstTrump Trump wasn't simply a friend. He drove the getaway car &amp; fucked all the money with Epstein.,-0.3,0.5285714285714286
53,Fed Chair Sabotage! Powell’s War on Trump’s Booming America (VIDEO) https://t.co/6W1ooG7CJP #gatewaypundit via @gatewaypundit,0.0,0.0
54,"Free 3 to 5 signals available everyday in my channel  join 👇👇
🚨Telegramhttps https://t.co/WLhji2vpGI

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $LINK $KAS $ERTB $RFTUSD $POI $IOP $GHT $dbtys https://t.co/rTHdhA7ily",0.20000000000000004,0.6000000000000001
55,@SenatorTimScott Stop acting like you support Trump! YOU sent money to TILLIS and CORNYNS campaigns RINO! Who else? We in SC see who you are and are DONE with you. You refuse to FIGHT to confirm TRUMPS NOMINEES. You will get no more $'s from me or anyone else I know.,-0.125,0.25
56,@SovereignMindsX Trump can’t do shit… He was supposed to end the wars on day one…,0.0,0.0
57,"@saintjavelin Trump already thinks Alaska is Russia, so...",0.0,0.0
58,"@michaelt5656 I am 100% onboard with DESTROYING MAGA.  My 39 years as a GOPer, '84 Reagan voter, have me MAD AS HELL at what Trump and his retarded cultists have done to America, let alone the GOP.",-0.5416666666666666,0.6
59,@WhiteHouse @POTUS Trump Center https://t.co/t2FUB4hySR,-0.1,0.1
60,"Trump's a racist...and an asshole!
YEAH RIGHT
 https://t.co/fStJlwPH7k",0.2857142857142857,0.5357142857142857
61,"@CountryFirstRep Besides your post, here on the internet, can you site a source where Trump has said ""Do whatever the hell you want."" to Putin? I hope the Mrs. continues to wake him up, but I don't think he has ever said that, and FINALLY draws a line and sticks to it.",0.0,1.0
62,@GuntherEagleman @Keir_Starmer We need to put pressure on Trump to fire Bondi!  She isn't going to arrest anyone,-0.05,0.0
63,"@PolitiBunny @AlwaysPurple24 @Angry_Staffer There's never a reason to even bring up the 34.  There's so much more to eliciting who Donald Trump is if you look over the years since the 1970s and see who he learned from, what kind of things he was interested in learning, how he conducted himself in business, how he ripped",0.45,0.6333333333333333
64,"republicans are so brainwashed by kiss-ass trump administration ,;;
that they have deceived themselves into thinking tariffs are good :;;

now the data is starting to come in,
and it’s bad ,
real bad,;;;",-0.24999999999999997,0.5916666666666667
65,#AXJASKS are there any other colored individuals in #Trump's government? https://t.co/FQQ4emXNPl,-0.125,0.375
66,"@MassGovernor Trump &amp; ICE also need to deport some people to help out with prices. You need to stop paying any money to house the illegals in any way. No hotels. No apartments. Thank you, future candidate for higher office. The other fools in your party are all singing the same song. Duh.",-0.034999999999999996,0.34500000000000003
67,"We keep hearing that Democrats in DC are QUIETLY supporting President Trump's military action to squash the crime!
QUIETLY? Why?
Act like an adult! YOU have taken an oath to protect American citizens!
Stop hiding and stand up for YOUR citizens, who put you in office!
PATHETIC!!",-0.08571428571428572,0.29761904761904756
68,@ArnoldCarton @Channel4News Donald Trump is allowing this genocide of Palestinians by Israel because he allies with Zionism. Donald has Jewish grandchildren. His son in law is a Zionist who wants to redevelop Gaza into a Jewish Dubai. He furthermore has a daughter who converted to Judaism.,0.06666666666666667,0.03333333333333333
69,"@Emolclause Keep calm and trust Trump! The new administration will bring a fresh perspective to public health policies, prioritizing evidence-based decisions over fear-mongering and political agendas. #AmericaFirst #Positivity #StayStrong",0.1622727272727273,0.37424242424242427
70,"President Trump. Please we need your help. I live in New York. I have been here all my life. If this Mandami and his partner get in , the American people will be in trouble. He is a racist and so is his partner. He will ruin our beautiful city. He is not an American. No Heritage",0.15378787878787878,0.35909090909090907
71,"https://t.co/nmFl06v3rA #TRUMP 45 / 47

IT'S TIME TO 

#REPENT...

EVERYBODY.

POLITICAL_WWF

#WhyWeFight.

#45 / #47 

#CHRISTIAN #POPE
.",0.0,0.0
72,@w_terrence He’s a fake person. Just trying to copy Trump.,-0.5,1.0
73,"@euronews_tr Wow, that sounds wild! Can’t believe Trump would even consider that. Makes me think of @JamesWilsonwin’s takes on geopolitics—always sharp. What’s next, trading Hawaii for peace? 😅",0.025,0.5375
74,@OurEarthAffairs @Kevin5740Arnold @atrupar Awwwe you mad that wilileaks exposed how corrupt the DNC is? Im sorry. I'm sorry Trump wasn't clutching his pearls at the DNC being exposed as a corrupt peice of shit.,-0.4708333333333334,0.9666666666666667
75,"When asked in an interview about what he would  do to stop Putin from bombing civilians in Ukraine,  Trump responded,  ""we talked about it.""
Only a sociopath wouldn't understand how repulsively unacceptable that response was!
A normal response would be:
The United States,  and...",0.075,0.825
76,"...but why is she doing this...when elsewhere claims are she was 'doing' Epstein too..... wouldn't that be the possible defamation, if of course it's not true...

...is Epstein-love a Trump 'family thing'?

@HouseGOP @SenateGOP https://t.co/VM42X8NxLi",-0.0875,0.825
77,@TRUMP_ARMY_ he is trashing the US and will do the same to its economy and people.,0.0,0.125
78,@TRUMP_ARMY_ Both,0.0,0.0
79,"@GovPressOffice lol does this idiot really think President Trump cares what he says or does?  Think again sparky, to President Trump you're just another communist an about as important as a fly on the wall - play nice or pay the consequences",0.3333333333333333,0.7666666666666666
80,"Republicans gaslight ALL of US all the time…not just about their Project 2025- which Trump is following along with his clearly insane revenge requests, the fact he’s made himself the “Big Boss” TACO of everything and everyone! he thinks

https://t.co/NaLOHVYTG7 https://t.co/HQccSvR7CU",-0.3333333333333333,0.4000000000000001
81,"@IrynaVoichuk They are unbelievable. I suppose tRump will tell putler he's 'disappointed!'

#NobelPissPrizeForTRump https://t.co/tjNg5kWCq3",-0.59375,0.875
82,"@FoxNews We already know the winner, Sylvester, Stallone, Trump supporter hands-down Trump will pick him",0.0,0.0
83,"@McFaul So it's really ironic that Michael McFaul, part of the team that created this giant mess, is giving advice to Trump...and wait for it...that advice is exactly part of what caused the war in the first place. Obama's foreign policy team has been named the pajama boys 4 good reason",0.15714285714285717,0.48333333333333334
84,How uncertain do you have to be to think a Republican House candidate is above average by almost losing a Trump +8 district https://t.co/ZAtuc5psjf,-0.075,0.25
85,"@TRUMP_ARMY_ Allegedly, @SenAdamSchiff is a pedophile who raped and killed a young Black boy (drugged him) in a hotel. I love watching the dominos fall. It's a dream come true to see career politicians leave office. Keep it up!",0.09513888888888888,0.3638888888888889
86,@StephenM ABC news is pure propaganda. Twist everything. Slopaganda. MSM! Trash! Trump must like it he could change it in one day. Obama did. Obama still running things. Different ass in the seat but nothing has changed. We are being poisoned 🤮 look  up! https://t.co/BGASypnRss,0.019345238095238092,0.39999999999999997
87,@allenanalysis Trump already has FEMA there.,0.0,0.0
88,"@jordan_kent1 @syeefinity @Madebyminato_ @VickiTTPD @PopBase @newheightshow @taylorswift13 Yes, it could apply. Trump's repeated insults, like calling Swift ""no longer hot"" after her political endorsements against him, suggest envy of her cultural influence and massive fanbase. Even leaders aren't immune to projecting insecurities—psychology shows success in others can",0.12999999999999998,0.41
89,@GuntherEagleman Scott Jennings nailed it on CNN—Trump’s focus on stopping crime in DC is spot-on. January 6th talk is just a distraction from real issues. Trump’s doing what’s right for safety.,0.24285714285714285,0.41785714285714287
90,"Free 3 to 5 signals available everyday in my channel  join 👇👇
🚨Telegramhttps https://t.co/WLhji2vpGI

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $LINK $KAS $ERTB $RFTUSD $POI $IOP $GHT $dbtys https://t.co/taa13xTBLM",0.20000000000000004,0.6000000000000001
